concept,deps,dep_articles
Arrow's impossibility theorem,"['set', 'function', 'real']","['Set (mathematics)', 'Function (mathematics)', 'Interval (mathematics)']"
Parabola,"['polygon', 'curve', 'inflection']","['Polygon', 'Curve', 'Inflection point']"
Vertical line test,"['test', 'variance', 'equality']","['SAT', 'Variance', 'Equality (mathematics)']"
Riemann–Roch theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Combination,"['set', 'element', 'permutation']","['Set (mathematics)', 'Element (mathematics)', 'Permutation']"
Derivative test,"['test', 'function', 'derivative']","['SAT', 'Function (mathematics)', 'Derivative']"
Exponential growth,"['exponential growth', 'rate', 'time']","['Rate (mathematics)', 'Local time (mathematics)']"
Function (mathematics),"['relation', 'relational', 'mathematical']","['Relation (mathematics)', 'Relation (mathematics)', 'Mathematics']"
Differential-algebraic system of equations,"['differential equation', 'differential operator']","['Differential equation', 'Differential operator']"
2012 in science,"['year', 'leap', 'year']","['Year', 'Leap second', 'Year']"
Halting problem,"['time', 'function', 'problem']","['Local time (mathematics)', 'Function (mathematics)', 'Word problem (mathematics)']"
Pascal's triangle,"['length', 'side', 'triangle']","['Length', 'Parity (mathematics)', 'Triangle']"
Kernel (image processing),"['image', 'function', 'kernel']","['Image (mathematics)', 'Function (mathematics)']"
Singular value,"['number', 'number system']","['Number', 'Number']"
Inner product space,"['set', 'group', 'element']","['Set (mathematics)', 'Group (mathematics)', 'Element (mathematics)']"
Theorem,"['principle', 'law', 'statement']","['Principle', 'Mathematics', 'Mathematics']"
SAT,"['smallest', 'function', 'value']","['Bracket (mathematics)', 'Function (mathematics)', 'Truth value']"
Digit sum,"['digit', 'number', 'sum']","['Number', 'Series (mathematics)']"
Algebraic number theory,"['number theory', 'mathematical object', 'number']","['Number theory', 'Mathematical object', 'Number']"
Relation (mathematics),"['set', 'rule', 'object']","['Set (mathematics)', ""Cramer's rule"", 'Category (mathematics)']"
Volterra operator,"['complex number', 'real number']","['Complex number', 'Real number']"
Laplace expansion,"['series', 'differential equation', 'solve']","['Series (mathematics)', 'Differential equation', 'Solver']"
Volume,"['volume', 'solid', 'measure']","['Solid', 'Measure (mathematics)']"
Parametric surface,"['surface', 'equation', 'model']","['Surface (mathematics)', 'Equation', 'Mathematics']"
Polynomial,"['polynomial', 'function', 'class']","['Function (mathematics)', 'Class (set theory)']"
Origin (mathematics),"['point', 'inflection', 'curve']","['Point (geometry)', 'Inflection point', 'Curve']"
Descartes' theorem,"['sum', 'triangle', 'angle']","['Series (mathematics)', 'Triangle', 'Angle']"
Scalar boson,"['neutral', 'charge', 'particle']","['Neutral plane', 'Brane', 'Particle']"
Abstract algebra,"['set', 'axiom', 'rule']","['Set (mathematics)', 'Axiom', ""Cramer's rule""]"
Glossary of mathematical symbols,"['collection', 'symbol', 'mathematics']","['Mathematics', 'Radical symbol', 'Mathematics']"
Stochastic,"['distribution', 'probability', 'function']","['Distribution (mathematics)', 'Probability', 'Function (mathematics)']"
Whole number,"['natural number', 'number', 'sum']","['Natural number', 'Number', 'Series (mathematics)']"
Nonlinear dimensionality reduction,"['reducing', 'number', 'variable']","['Function (mathematics)', 'Number', 'Variable (mathematics)']"
Formal power series,"['prime number', 'sequence', 'number']","['Prime number', 'Sequence', 'Number']"
Annual percentage rate,"['annual percentage rate', 'percentage', 'rate']","['Percentage', 'Rate (mathematics)']"
Multiplication algorithm,"['set', 'number', 'rule']","['Set (mathematics)', 'Number', ""Cramer's rule""]"
Jordan matrix,"['matrix', 'diagonal', 'matrix']","['Matrix (mathematics)', 'Diagonal', 'Matrix (mathematics)']"
Longship,"['ship', 'length', 'width']","['Spline (mathematics)', 'Length', 'Clique-width']"
Projective geometry,"['space', 'time', 'theory']","['Space (mathematics)', 'Local time (mathematics)', 'Set theory']"
Zero divisor,"['zero divisor', 'zero product']",['Dot product']
Included angle,"['measure', 'angle', 'line']","['Measure (mathematics)', 'Angle', 'Line (geometry)']"
Z-matrix (mathematics),"['matrix', 'zero', 'zeros']","['Matrix (mathematics)', '0', '0']"
Point reflection,"['surface', 'reflection', 'point']","['Surface (mathematics)', 'Reflection (mathematics)', 'Point (geometry)']"
Orthogonal group,"['group', 'element', 'orthogonal']","['Group (mathematics)', 'Element (mathematics)', 'Orthogonality (mathematics)']"
Multiplier (economics),"['ratio', 'amount', 'money']","['Ratio', 'Matrix (mathematics)', 'Money']"
Involution (mathematics),"['number', 'curve', 'function']","['Number', 'Curve', 'Function (mathematics)']"
Reaction (physics),"['reaction', 'substance', 'convert']","['Reaction rate', 'Flux', 'Vector (mathematics and physics)']"
Scatter plot,"['graph', 'relationship', 'variable']","['Graph (discrete mathematics)', 'Spurious relationship', 'Variable (mathematics)']"
Four-dimensional space,"['axis', 'space', 'parallel']","['Axis', 'Space (mathematics)', 'Parallel (operator)']"
Continued fraction,['mixed number'],['Rational number']
Cartesian coordinate system,"['x', 'y']","['Function (mathematics)', 'Locus (mathematics)']"
Completeness of the real numbers,"['set', 'number', 'complete']","['Set (mathematics)', 'Number', 'NP-completeness']"
Integer sequence,"['field', 'operation', 'sequence']","['Field (mathematics)', 'Operation (mathematics)', 'Sequence']"
Natural number,"['number', 'whole', 'number system']","['Number', 'Locus (mathematics)', 'Number']"
Cancellation property,"['property', 'function', 'zero']","['Property (mathematics)', 'Function (mathematics)', '0']"
Transformation geometry,"['identity', 'preserve', 'transform']","['Identity (mathematics)', 'Isometry', 'Z-transform']"
Pauli matrices,"['group', 'matrix', 'rank']","['Group (mathematics)', 'Matrix (mathematics)', 'Rank (linear algebra)']"
Curvilinear coordinates,"['x', 'y']","['Function (mathematics)', 'Locus (mathematics)']"
Adiabatic process,"['temperature', 'substance', 'increase']","['Temperature', 'Flux', 'Sequence']"
Participation criterion,"['criterion', 'participant', 'determine']","['Kelly criterion', 'Mathematical Kangaroo', 'Determinant']"
Triangulation (topology),"['set', 'line', 'plane']","['Set (mathematics)', 'Line (geometry)', 'Plane (geometry)']"
Zero-product property,"['product', 'vector', 'zero']","['Product (mathematics)', 'Vector (mathematics and physics)', '0']"
Rotation (mathematics),"['change', 'direction', 'motion']","['Rate (mathematics)', 'Vector (mathematics and physics)', 'Motion']"
Coefficient,"['ratio', 'ratios', 'number']","['Ratio', 'Ratio', 'Number']"
Snake lemma,"['theorem', 'axiom', 'prove']","['Theorem', 'Axiom', 'Lemma (mathematics)']"
Piecewise linear function,"['discontinuous', 'function', 'point']","['Discontinuous group', 'Function (mathematics)', 'Point (geometry)']"
Active and passive transformation,"['field', 'vector', 'transformation']","['Field (mathematics)', 'Vector (mathematics and physics)', 'Transformation (function)']"
Quadratic formula,"['polynomial', 'root', 'square']","['Polynomial', 'Root (disambiguation)', 'Square']"
Triple product,"['product', 'quantity', 'product']","['Product (mathematics)', 'Quantity', 'Product (mathematics)']"
Quadratic function,"['polynomial', 'square', 'sum']","['Polynomial', 'Square', 'Series (mathematics)']"
Indefinite inner product space,"['set', 'number', 'element']","['Set (mathematics)', 'Number', 'Element (mathematics)']"
Hooke's law,"['law of elasticity', 'stress']","['Linear elasticity', 'Stress (mechanics)']"
Transformational theory,"['theory of groups', 'transformation']","['Group (mathematics)', 'Transformation (function)']"
Long tail,"['distribution', 'tail', 'probability']","['Distribution (mathematics)', 'Graph (discrete mathematics)', 'Probability']"
Root of unity,"['number', 'root', 'square']","['Number', 'Root (disambiguation)', 'Square']"
Direction cosine,"['angle', 'curve', 'direction']","['Angle', 'Curve', 'Vector (mathematics and physics)']"
Versine,"['product', 'vector', 'scalar']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Scalar (mathematics)']"
Experiment,"['change', 'effect', 'variable']","['Rate (mathematics)', 'Hall effect', 'Variable (mathematics)']"
Orbital state vectors,"['vector', 'state', 'particle']","['Vector (mathematics and physics)', 'Function (mathematics)', 'Particle']"
Arithmetico-geometric sequence,"['digit', 'number', 'sequence']","['Digit sum', 'Number', 'Sequence']"
Diamond,"['crystal', 'solid', 'system']","['Crystal (mathematics)', 'Solid', 'Mathematics']"
Equivalence class,"['set', 'group', 'equivalence']","['Set (mathematics)', 'Group (mathematics)']"
Riesz space,"['metric', 'space', 'point']","['Metric space', 'Space (mathematics)', 'Point (geometry)']"
Method of complements,"['polynomial', 'inverse', 'root']","['Polynomial', 'Inverse function', 'Root (disambiguation)']"
Transformational grammar,"['transformation', 'grammar', 'language']","['Transformation (function)', 'Formal grammar', 'Formal language']"
Dilution (equation),"['ratio', 'substance', 'dilute']","['Ratio', 'Flux']"
Rayleigh quotient,"['wave', 'medium', 'amplitude']","['Wave', 'Wave', 'Sine wave']"
LC circuit,"['reactance', 'reactance', 'circuit']","['Reactance (psychology)', 'Reactance (psychology)', 'RLC circuit']"
Quantum dynamics,"['quantum mechanics', 'mathematical theory']","['Quantum mechanics', 'Mathematical theory']"
Icosahedral symmetry,"['symmetries', 'group', 'point']","['Symmetry', 'Group (mathematics)', 'Point (geometry)']"
Similarity (geometry),"['figure', 'similarity', 'figure']","['Shape', 'Shape']"
Sard's theorem,"['theorem', 'polynomial', 'root']","['Theorem', 'Polynomial', 'Root (disambiguation)']"
Radian,"['measure', 'angle', 'degree']","['Measure (mathematics)', 'Angle', 'Degree (graph theory)']"
Winding number,"['number', 'turn', 'wire']","['Number', 'Turn (angle)', 'The Wire']"
Noise (signal processing),"['stochastic', 'disturbance', 'random']","['Stochastic', 'Wave', 'Random walk']"
Matrix decomposition,"['vector', 'matrix', 'collection']","['Vector (mathematics and physics)', 'Matrix (mathematics)', 'Mathematics']"
Unit hyperbola,"['hyperbola', 'radius', 'unit']","['Hyperbola', 'Radius', 'Unit (ring theory)']"
Knowledge space,"['set', 'system', 'state']","['Set (mathematics)', 'Mathematics', 'Function (mathematics)']"
Fourier series,"['sine', 'cosine', 'function']","['Versine', 'Law of cosines', 'Function (mathematics)']"
Crystal structure,"['set', 'rule', 'crystal']","['Set (mathematics)', ""Cramer's rule"", 'Crystal (mathematics)']"
Homomorphism,"['homomorphism', 'object', 'respect']","['Category (mathematics)', 'Matrix (mathematics)']"
Right-hand rule,"['rule', 'thumb', 'mathematician']","[""Cramer's rule"", 'Curl (mathematics)', 'Mathematician']"
Coriolis force,"['torque', 'body', 'rotate']","['Torque', 'Rigid body', 'Rotation']"
Tagged union,"['set', 'element', 'label']","['Set (mathematics)', 'Element (mathematics)', 'Graph (discrete mathematics)']"
Relativistic quantum mechanics,"['theory', 'quantum', 'mechanics']","['Set theory', 'Quantum gravity', 'Mechanics']"
Axis–angle representation,"['axis', 'plane', 'representation']","['Axis', 'Plane (geometry)', 'Representation (mathematics)']"
Homogeneous polynomial,"['coefficient', 'polynomial', 'coefficient']","['Coefficient', 'Polynomial', 'Coefficient']"
Introduction to the Theory of Error-Correcting Codes,"['book', 'theory', 'code']","['Mathematics', 'Set theory', 'Code']"
Occupational inequality,"['measure', 'group', 'average']","['Measure (mathematics)', 'Group (mathematics)', 'Average']"
Parallelogram,['polygon'],['Polygon']
Well-order,"['set', 'element', 'type']","['Set (mathematics)', 'Element (mathematics)', 'OpenType']"
Vector graphics,['a set of points that can be resized without losing quality'],['Firefox version history']
Economic model,"['model', 'economy', 'math']","['Mathematics', 'Economy', 'Math 55']"
Five-dimensional space,"['axis', 'space', 'parallel']","['Axis', 'Space (mathematics)', 'Parallel (operator)']"
Look-and-say sequence,"['number', 'digit', 'sequence']","['Number', 'Digit sum', 'Sequence']"
Interval arithmetic,"['arithmetic', 'interval', 'arithmetic operation']","['Arithmetic', 'Interval (mathematics)', 'Arithmetic geometry']"
Rigid body,"['deformable', 'body', 'material']","['Deformation (mathematics)', 'Mathematics']"
Symmetric bilinear form,"['group', 'symmetry', 'form']","['Group (mathematics)', 'Symmetry', 'Determinant']"
Paradox,"['situation', 'contradiction', 'situational logic']","['Mathematics', 'Contradiction', 'Mathematical logic']"
Matrix coefficient,"['inverse', 'matrix', 'measure']","['Inverse function', 'Matrix (mathematics)', 'Measure (mathematics)']"
Variable (mathematics),"['quantity', 'change', 'change rate']","['Quantity', 'Rate (mathematics)', 'Rate (mathematics)']"
Linear congruential generator,"['prime number', 'generator', 'combination']","['Prime number', 'Generator (mathematics)', 'Combination']"
Malthusian growth model,"['growth', 'population', 'model']","['Mathematics', 'World population', 'Mathematics']"
Radical symbol,"['radical', 'symbol', 'represent']",['Mathematics']
Orthogonal basis,"['basis', 'orthogonal', 'basis']","['Basis (linear algebra)', 'Orthogonality (mathematics)', 'Basis (linear algebra)']"
System of differential equations,"['set', 'equation', 'interact']","['Set (mathematics)', 'Equation', 'Matrix (mathematics)']"
Matrix norm,"['eigenvalue', 'matrix', 'measure']","['Degeneracy (mathematics)', 'Matrix (mathematics)', 'Measure (mathematics)']"
Circumscribed circle,['circumscribed circle'],[]
Origami,"['paper', 'fold', 'art']","['Graph paper', 'Miura fold', 'Visual arts']"
Disquisitiones Arithmeticae,"['treatise', 'mathematics', 'treatise']","['Treatise', 'Mathematics', 'Treatise']"
Functional (mathematics),"['rule', 'system', 'variable']","[""Cramer's rule"", 'Mathematics', 'Variable (mathematics)']"
Formula,"['set', 'rule', 'rulebook']","['Set (mathematics)', ""Cramer's rule"", 'Code (disambiguation)']"
Parent function,"['function', 'case', 'function']","['Function (mathematics)', 'Letter case', 'Function (mathematics)']"
Numerical integration,"['area', 'polygon', 'surface']","['Area', 'Polygon', 'Surface (mathematics)']"
Probability vector,"['probability', 'event', 'vector']","['Probability', 'Probability', 'Vector (mathematics and physics)']"
Computing the permanent,"['time', 'function', 'point']","['Local time (mathematics)', 'Function (mathematics)', 'Point (geometry)']"
Potential energy,"['entropy', 'measure', 'system']","['Entropy (information theory)', 'Measure (mathematics)', 'Mathematics']"
Indeterminate (variable),"['Indeterminate', 'variable', 'value']","['Variable (mathematics)', 'Truth value']"
Series expansion,"['series', 'number', 'sequence']","['Series (mathematics)', 'Number', 'Sequence']"
Zorn's lemma,"['theorem', 'statement', 'lemma']","['Theorem', 'Mathematics', 'Lemma (mathematics)']"
E (mathematical constant),"['force', 'conserve', 'system']","['Force', 'Conservation', 'Mathematics']"
Consistency,"['property', 'set', 'object']","['Property (mathematics)', 'Set (mathematics)', 'Category (mathematics)']"
Numerical methods for ordinary differential equations,"['method', 'solve', 'equation']","['Mathematics', 'Solver', 'Equation']"
Euler's identity,"['identity', 'polynomial', 'root']","['Identity (mathematics)', 'Polynomial', 'Root (disambiguation)']"
Population dynamics,"['population', 'model', 'dynamics']","['World population', 'Mathematics', 'Dynamics']"
Unit fraction,"['fraction', 'equal', 'one']","['Fraction', 'Equality (mathematics)', 'Identity (mathematics)']"
Complex conjugate root theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Orthogonality principle,"['sum', 'angle', 'triangle']","['Series (mathematics)', 'Angle', 'Triangle']"
Arithmetic mean,"['group', 'number', 'average']","['Group (mathematics)', 'Number', 'Average']"
Tower of Hanoi,"['game', 'turn', 'board']","['Mathematics', 'Turn (angle)', 'Chinese mathematics']"
Hessenberg matrix,"['group', 'matrix', 'element']","['Group (mathematics)', 'Matrix (mathematics)', 'Element (mathematics)']"
Ω-consistent theory,"['theory', 'axiom', 'theory']","['Set theory', 'Axiom', 'Set theory']"
Logarithmic growth,"['exponential growth', 'growth', 'rate']","['Exponential growth', 'Mathematics', 'Rate (mathematics)']"
Green's identities,"['set', 'axiom', 'theory']","['Set (mathematics)', 'Axiom', 'Set theory']"
Proportionality (mathematics),"['proportion', 'relationship', 'magnitude']","['Proportion (architecture)', 'Spurious relationship', 'Magnitude (mathematics)']"
Reflection (mathematics),"['ray', 'reflect', 'mirror']","['X-ray', 'Reflectance', 'Mirror']"
Analysis of variance,"['statistical analysis', 'probability theory']","['Mathematical analysis', 'Probability theory']"
Mathematical induction,"['implication', 'consequence', 'rule']","['Triviality (mathematics)', 'Logical consequence', ""Cramer's rule""]"
Harmonic scale,"['number', 'scale', 'note']","['Number', 'Scaling (geometry)', 'Musical note']"
Unit circle,"['diameter', 'radius', 'circle']","['Diameter (disambiguation)', 'Radius', 'Circle']"
Cross product,"['product', 'vector', 'vector product']","['Product (mathematics)', 'Vector (mathematics and physics)']"
Carrying capacity,"['volume', 'matter', 'space']","['Volume', 'Matter', 'Space (mathematics)']"
Contradiction,"['contradiction', 'statement', 'statement']","['Mathematics', 'Mathematics']"
Regression analysis,"['estimation', 'model', 'parameter']","['Estimation', 'Mathematics', 'Parameter']"
Low-rank approximation,"['set', 'matrix', 'element']","['Set (mathematics)', 'Matrix (mathematics)', 'Element (mathematics)']"
Hermite transform,"['transform', 'inverse', 'preserve']","['Z-transform', 'Inverse function', 'Isometry']"
Discrete-time Markov chain,['discrete-time Markov chain'],[]
Spherical coordinate system,"['spherical coordinate system', 'spherical coordinate system']",[]
Barrier function,"['continuous', 'function', 'parameter']","['Continuous function', 'Function (mathematics)', 'Parameter']"
Linear regression,"['model', 'describe', 'relationship']","['Mathematics', 'Vector (mathematics and physics)', 'Spurious relationship']"
Nonlinear system,"['time', 'change', 'system']","['Local time (mathematics)', 'Rate (mathematics)', 'Mathematics']"
Permutation matrix,"['matrix', 'permutation', 'combination']","['Matrix (mathematics)', 'Permutation', 'Combination']"
Sum,"['set', 'element', 'sum']","['Set (mathematics)', 'Element (mathematics)', 'Series (mathematics)']"
Complement (set theory),"['set', 'subset', 'set']","['Set (mathematics)', 'Subset', 'Set (mathematics)']"
Lorentz group,"['group', 'symmetry', 'space']","['Group (mathematics)', 'Symmetry', 'Space (mathematics)']"
Forcing (mathematics),"['force', 'body', 'act']","['Force', 'Rigid body', 'ACT (test)']"
Multilinear algebra,"['arithmetic', 'multilinear', 'arithmetic progression']","['Arithmetic', 'Multilinear map', 'Arithmetic progression']"
Size,"['measure', 'distance', 'point']","['Measure (mathematics)', 'Distance', 'Point (geometry)']"
Intersection,"['line segment', 'point']","['Line segment', 'Point (geometry)']"
Trace operator,"['inverse', 'function', 'return']","['Inverse function', 'Function (mathematics)', 'Rate of return']"
Ordered vector space,"['order', 'space', 'vector']","['Mathematics', 'Space (mathematics)', 'Vector (mathematics and physics)']"
Basis of a matroid,"['set', 'element', 'matroid']","['Set (mathematics)', 'Element (mathematics)', 'Matroid']"
Leonard W. Hein,"['theorem', 'theorem proving', 'mathematician']","['Theorem', 'Theorem', 'Mathematician']"
Multiplicity (mathematics),"['count', 'property', 'set']","['Counting', 'Property (mathematics)', 'Set (mathematics)']"
Complex analysis,"['function', 'structure', 'study']","['Function (mathematics)', 'Structure (mathematical logic)', 'Mathematics']"
Independence (mathematical logic),"['property', 'set', 'object']","['Property (mathematics)', 'Set (mathematics)', 'Category (mathematics)']"
Complex conjugate of a vector space,"['complex number', 'vector space']","['Complex number', 'Vector space']"
Principal axis theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Gaussian integer,"['prime number', 'prime factorization']","['Prime number', 'Integer factorization']"
Absolute Infinite,"['infinitely small', 'infinitely large']","['Infinitesimal', 'Infinity']"
Coordinate vector,"['line of symmetry', 'vector']","['Reflection symmetry', 'Vector (mathematics and physics)']"
Support of a module,"['set', 'element', 'module']","['Set (mathematics)', 'Element (mathematics)', 'Module (mathematics)']"
Thermal conduction,"['place', 'heat', 'transfer']","['Locus (mathematics)', 'Heat', 'Matrix (mathematics)']"
Orthogonality,"['line', 'segment', 'perpendicular']","['Line (geometry)', 'Line segment', 'Perpendicular']"
Vector space,"['set', 'vector', 'vector space']","['Set (mathematics)', 'Vector (mathematics and physics)']"
Signed distance function,"['distance', 'point', 'set']","['Distance', 'Point (geometry)', 'Set (mathematics)']"
Identity element,"['identity', 'object', 'same']","['Identity (mathematics)', 'Category (mathematics)', 'Set (mathematics)']"
Quadrature (mathematics),"['line', 'x-axis', 'segment']","['Line (geometry)', 'Axis', 'Line segment']"
Distributive lattice,['Distributive lattice'],[]
Substitution cipher,"['number', 'cipher', 'letter']","['Number', 'Cipher', 'Delta (letter)']"
Injective function,"['set', 'function', 'map']","['Set (mathematics)', 'Function (mathematics)', 'Map (mathematics)']"
Conformable matrix,"['conformable', 'matrix', 'matrix multiplication']","['Matrix (mathematics)', 'Matrix multiplication']"
Cesàro summation,"['group', 'element', 'sum']","['Group (mathematics)', 'Element (mathematics)', 'Series (mathematics)']"
Codomain,"['set', 'domain', 'subset']","['Set (mathematics)', 'Domain (mathematical analysis)', 'Subset']"
Verbal Behavior,"['set', 'rule', 'behavior']","['Set (mathematics)', ""Cramer's rule"", 'Mathematics']"
Scale parameter,"['size', 'measure', 'feature']","['Size', 'Measure (mathematics)', 'Feature (computer vision)']"
Row and column spaces,"['set', 'plane', 'point']","['Set (mathematics)', 'Plane (geometry)', 'Point (geometry)']"
Equation solving,"['process', 'determine', 'value']","['Process', 'Determinant', 'Truth value']"
Vector calculus identities,"['arithmetic expression', 'vector', 'set']","['Arithmetic progression', 'Vector (mathematics and physics)', 'Set (mathematics)']"
Woodbury matrix identity,['identity matrix'],['Identity matrix']
Synthetic division,"['prime number', 'number', 'division']","['Prime number', 'Number', 'Division (mathematics)']"
Simple harmonic motion,"['periodic motion', 'amplitude', 'frequency']","['Periodic function', 'Sine wave', 'Frequency (statistics)']"
Arrows (Unicode block),"['polygon', 'segment', 'line']","['Polygon', 'Line segment', 'Line (geometry)']"
Module homomorphism,"['map', 'module', 'function']","['Map (mathematics)', 'Module (mathematics)', 'Function (mathematics)']"
Algebraic number field,"['set', 'number', 'element']","['Set (mathematics)', 'Number', 'Element (mathematics)']"
Bra–ket notation,"['complex number', 'notation']","['Complex number', 'Summation']"
Congruent transformation,"['symmetry', 'figure', 'transformation']","['Symmetry', 'Shape', 'Transformation (function)']"
Fredholm operator,"['mapping', 'function', 'continuous']","['Map (mathematics)', 'Function (mathematics)', 'Continuous function']"
Shift operator,"['operator', 'shift', 'number']","['Operator (mathematics)', 'Shift space', 'Number']"
Newton's law of cooling,"['law', 'thermodynamics']","['Mathematics', 'Thermodynamics']"
List of named matrices,"['list', 'matrix', 'name']","['Mathematics', 'Matrix (mathematics)', 'Rho']"
Parity of a permutation,"['a sequence', 'permutation', 'element']","['Sequence', 'Permutation', 'Element (mathematics)']"
Economic system,"['rule', 'institution', 'allocation']","[""Cramer's rule"", 'Institution', 'C (programming language)']"
Matrix calculus,"['differential geometry', 'calculus']","['Differential geometry', 'Calculus']"
Parity-check matrix,"['matrix', 'diagonal', 'element']","['Matrix (mathematics)', 'Diagonal', 'Element (mathematics)']"
Concave function,"['concave', 'function', 'upward']","['Convex set', 'Function (mathematics)', 'Sign (mathematics)']"
Domain of a function,"['set', 'function', 'point']","['Set (mathematics)', 'Function (mathematics)', 'Point (geometry)']"
Operation (mathematics),"['operation', 'mathematical', 'concept']","['Mathematics', 'Concept']"
Isometry,"['line', 'x-axis', 'segment']","['Line (geometry)', 'Axis', 'Line segment']"
Matrix representation,"['array', 'element', 'dimension']","['Array (data structure)', 'Element (mathematics)', 'Dimension']"
Real projective line,"['line', 'plane', 'axis']","['Line (geometry)', 'Plane (geometry)', 'Axis']"
Orthonormal basis,"['basis', 'transformation', 'transform']","['Basis (linear algebra)', 'Transformation (function)', 'Z-transform']"
Adjugate matrix,"['matrix', 'combination', 'matrix']","['Matrix (mathematics)', 'Combination', 'Matrix (mathematics)']"
Proper orthogonal decomposition,"['set', 'line', 'perpendicular']","['Set (mathematics)', 'Line (geometry)', 'Perpendicular']"
Unitary transformation,"['identity', 'preserve', 'transformation']","['Identity (mathematics)', 'Isometry', 'Transformation (function)']"
Asymptote,"['point', 'curve', 'tangent']","['Point (geometry)', 'Curve', 'Tangent']"
Finite field,"['set', 'number', 'element']","['Set (mathematics)', 'Number', 'Element (mathematics)']"
Correlation,"['similarity', 'measure', 'variable']","['Similarity (geometry)', 'Measure (mathematics)', 'Variable (mathematics)']"
Discriminant,"['difference', 'measure', 'number']","['Finite difference', 'Measure (mathematics)', 'Number']"
Zero matrix,"['matrix', 'element', 'row']","['Matrix (mathematics)', 'Element (mathematics)', 'Rank (linear algebra)']"
Function of several complex variables,"['complex number', 'function', 'set']","['Complex number', 'Function (mathematics)', 'Set (mathematics)']"
System of linear equations,"['set', 'function', 'equation']","['Set (mathematics)', 'Function (mathematics)', 'Equation']"
LU decomposition,"['matrix', 'decomposition', 'transform']","['Matrix (mathematics)', 'Decomposition (disambiguation)', 'Z-transform']"
Basic solution (linear programming),"['objective function', 'solution', 'satisfiability']","['Barrier function', 'Equation', 'Satisfiability']"
Riesz representation theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Pendulum,"['oscillator', 'point', 'device']","['Oscillation', 'Point (geometry)', 'Abacus']"
Interpolation,"['interpolation', 'estimate', 'point']","['Estimator', 'Point (geometry)']"
Tuple,"['set', 'element', 'number']","['Set (mathematics)', 'Element (mathematics)', 'Number']"
Symmetric function,"['symmetry', 'point', 'function']","['Symmetry', 'Point (geometry)', 'Function (mathematics)']"
Computational science,"['Algorithm', 'problem', 'solve']","['Algorithm', 'Word problem (mathematics)', 'Solver']"
Definition,"['set', 'object', 'describe']","['Set (mathematics)', 'Category (mathematics)', 'Vector (mathematics and physics)']"
Adjoint,"['function', 'combination', 'function']","['Function (mathematics)', 'Combination', 'Function (mathematics)']"
Nth root,"['coefficient', 'polynomial', 'root']","['Coefficient', 'Polynomial', 'Root (disambiguation)']"
Linear model,"['model', 'equation', 'system']","['Mathematics', 'Equation', 'Mathematics']"
Paul Erdős,"['field', 'mathematician', 'combinatorics']","['Field (mathematics)', 'Mathematician', 'Combinatorics']"
Inverse element,"['inverse', 'object', 'object']","['Inverse function', 'Category (mathematics)', 'Category (mathematics)']"
Gauss–Bonnet theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Transpose of a linear map,"['inverse', 'ratio', 'multiply']","['Inverse function', 'Ratio', 'Matrix (mathematics)']"
Autonomous system (mathematics),"['system', 'operate', 'intervention']","['Mathematics', 'Cis (mathematics)', 'Dyscalculia']"
Orientation (geometry),"['direction', 'space', 'point']","['Vector (mathematics and physics)', 'Space (mathematics)', 'Point (geometry)']"
Partial correlation,"['measure', 'correlation', 'variable']","['Measure (mathematics)', 'Correlation', 'Variable (mathematics)']"
Equals sign,"['equals sign', 'sign', 'math']","['Sign (mathematics)', 'Math 55']"
Q,"['constant', 'constant velocity', 'constant acceleration']","['Constant (mathematics)', 'Terminal velocity', 'Acceleration']"
Gray code,"['binary number', 'binary code']","['Binary number', 'Binary code']"
Orthogonal matrix,"['matrix', 'orthogonality']","['Matrix (mathematics)', 'Orthogonality (mathematics)']"
Control variable,"['change', 'value', 'variable']","['Rate (mathematics)', 'Truth value', 'Variable (mathematics)']"
Degree (graph theory),"['degree', 'graph', 'measure']","['Graph (discrete mathematics)', 'Measure (mathematics)']"
Coprime integers,['prime numbers'],['Prime number']
Proper map,"['set', 'map', 'subset']","['Set (mathematics)', 'Map (mathematics)', 'Subset']"
Sequence space,"['set', 'sequence', 'element']","['Set (mathematics)', 'Sequence', 'Element (mathematics)']"
Principal ideal domain,"['set', 'number', 'inverse']","['Set (mathematics)', 'Number', 'Inverse function']"
Random walk,"['stochastic process', 'random walk']",['Stochastic process']
Rigid transformation,"['transformation', 'preserve', 'shape']","['Transformation (function)', 'Isometry', 'Shape']"
Scale factor (computer science),"['ratio', 'bit', 'byte']","['Ratio', 'Bit', 'Bit']"
Jordan algebra,"['group', 'element', 'class']","['Group (mathematics)', 'Element (mathematics)', 'Class (set theory)']"
Multilinear form,"['polynomial', 'coefficient', 'form']","['Polynomial', 'Coefficient', 'Determinant']"
Logarithm,"['ratio', 'ratios', 'number']","['Ratio', 'Ratio', 'Number']"
Volume of an n-ball,"['sphere', 'number', 'ball']","['Sphere', 'Number', 'Ball (mathematics)']"
