concept,dep_articles_de2,dep_articles_de3,dep_articles
2012 in science,[],"['Euclidean vector', 'Matrix (mathematics)', 'Transformation matrix', 'Column', 'Linear map']","['Linear map', 'Euclidean vector', 'Transformation matrix', 'Column', 'Matrix (mathematics)']"
Skew-symmetric matrix,"['Determinant', 'Matrix (mathematics)', 'Skew-symmetric graph', 'Skew-symmetric matrix', 'Transpose']","['Matrix (mathematics)', 'Transpose', 'Determinant', 'Invertible matrix', 'Formula']","['Matrix (mathematics)', 'Transpose', 'Invertible matrix', 'Formula']"
Characteristic class,['Characteristic (algebra)'],"['Matrix (mathematics)', 'Diagonal matrix', 'Eigenvalues and eigenvectors', 'Vector space', 'Linear map']","['Linear map', 'Characteristic (algebra)', 'Vector space', 'Diagonal matrix', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Leonard W. Hein,"['Euclidean algorithm', 'Modulo (mathematics)']","['Modular arithmetic', 'Integer (computer science)', 'Inverse function', 'Abstract algebra', 'Matrix (mathematics)']","['Modulo (mathematics)', 'Abstract algebra', 'Integer (computer science)', 'Euclidean algorithm', 'Inverse function', 'Matrix (mathematics)', 'Modular arithmetic']"
Helmert transformation,[],"['Eigenvalues and eigenvectors', 'Square matrix', 'Linear map', 'Matrix equivalence']","['Square matrix', 'Eigenvalues and eigenvectors', 'Matrix equivalence', 'Linear map']"
One Thousand and One Nights,"['Characteristic polynomial', 'List of unsolved problems in mathematics']","['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'If and only if', 'Vector space', 'Invertible matrix']","['If and only if', 'List of unsolved problems in mathematics', 'Vector space', 'Characteristic polynomial', 'Matrix (mathematics)', 'Invertible matrix', 'Eigenvalues and eigenvectors']"
QR decomposition,[],"['Vector space', 'Decomposition', 'Orthonormal basis', 'Triangular matrix', 'Linear independence']","['Vector space', 'Triangular matrix', 'Decomposition', 'Orthonormal basis', 'Linear independence']"
Difference of two squares,"['Scalar multiplication', 'Vector space', 'Cancellation property', 'Equality (mathematics)', 'Pointwise product']","['Vector space', 'Axiom', 'Mathematical proof', 'Theorem', 'Zero element']","['Theorem', 'Vector space', 'Equality (mathematics)', 'Cancellation property', 'Pointwise product', 'Zero element', 'Scalar multiplication', 'Axiom', 'Mathematical proof']"
Cross product,"['Determinant', 'Matrix multiplication', 'Cross product', 'Real coordinate space', 'Vector notation']","['Multiplication', 'Euclidean vector', 'Matrix (mathematics)', 'Variable (mathematics)', 'System of linear equations']","['Vector notation', 'Matrix multiplication', 'System of linear equations', 'Matrix (mathematics)', 'Real coordinate space']"
Ω-consistent theory,"['System of linear equations', 'Consistency', 'Hyperplane', 'Autonomous system (mathematics)']","['System of linear equations', 'Equation', 'Variable (mathematics)', 'Real number', 'Infinity']","['Equation', 'Hyperplane', 'Real number', 'Infinity']"
Parameter,"['System of linear equations', 'Variable (mathematics)', 'Consistency', 'Distance matrix', 'Gaussian elimination']","['.example', 'Equation', 'Row echelon form', 'Field extension', 'Solution set']","['Solution set', 'Consistency', 'System of linear equations', 'Row echelon form', '.example', 'Equation', 'Field extension']"
Support vector machine,"['Geometric series', 'Euclidean vector', 'Geometric algebra', 'Unit vector', 'Dot product']","['Euclidean vector', 'Geometry', 'Formula', 'Plane (geometry)', 'Dot product']","['Unit vector', 'Geometry', 'Euclidean vector', 'Geometric series', 'Dot product', 'Geometric algebra', 'Formula', 'Plane (geometry)']"
Glossary of string theory,[],"['Matrix (mathematics)', 'System of linear equations', 'Scalar (mathematics)', 'Elementary matrix', 'Linear combination']","['Linear combination', 'System of linear equations', 'Elementary matrix', 'Matrix (mathematics)', 'Scalar (mathematics)']"
Glossary of mathematical symbols,"['Numerical methods for ordinary differential equations', 'Gaussian elimination', 'System of linear equations']","['Column', 'Matrix (mathematics)', 'System of linear equations', 'Cartesian coordinate system', 'Theorem']","['Theorem', 'Cartesian coordinate system', 'System of linear equations', 'Numerical methods for ordinary differential equations', 'Column', 'Matrix (mathematics)', 'Gaussian elimination']"
Unitary operator,[],"['Vector space', 'Linear map', 'Matrix (mathematics)', 'Dimension (vector space)', 'Field extension']","['Dimension (vector space)', 'Linear map', 'Vector space', 'Field extension', 'Matrix (mathematics)']"
Flow diagram,[],"['Field extension', 'Matrix (mathematics)', '.gi', 'Matrix multiplication', 'Linear map']","['Linear map', '.gi', 'Matrix multiplication', 'Field extension', 'Matrix (mathematics)']"
Functional (mathematics),['Dual space'],"['Linear form', 'Linear map', 'Vector space', 'Scalar field', '.example']","['Linear map', 'Vector space', 'Dual space', '.example', 'Linear form', 'Scalar field']"
Basic reproduction number,['Function (mathematics)'],"['Exercise', 'Cattle', 'Reproduction', 'Invertible matrix', 'Diagonalizable matrix']","['Function (mathematics)', 'Diagonalizable matrix', 'Cattle', 'Reproduction', 'Exercise', 'Invertible matrix']"
Edo period,[],"['Differential equation', 'Characteristic polynomial', 'F(x) (musical group)', 'Polynomial', ""Hooke's law""]","['Differential equation', 'F(x) (musical group)', 'Characteristic polynomial', 'Polynomial', ""Hooke's law""]"
Annual percentage rate,[],"['Exponential function', 'Compound interest', 'The Boston Globe', 'Equation', 'Calculator']","['Compound interest', 'The Boston Globe', 'Exponential function', 'Calculator', 'Equation']"
Mean squared error,['Correlation'],"['Sample mean and covariance', 'Arithmetic mean', 'Matrix (mathematics)', 'Linear algebra', 'Invertible matrix']","['Correlation', 'Arithmetic mean', 'Linear algebra', 'Matrix (mathematics)', 'Invertible matrix', 'Sample mean and covariance']"
Riesz space,[],"['Linear form', 'Vector space', 'Orthonormal basis', '.example', 'Dimension (vector space)']","['Dimension (vector space)', 'Vector space', '.example', 'Linear form', 'Orthonormal basis']"
Apsis,"['Directrix', 'Eccentricity (mathematics)', 'Parabola']","['Equation', 'Conic section', 'Orbit', 'Graph (discrete mathematics)', 'Polar coordinate system']","['Polar coordinate system', 'Eccentricity (mathematics)', 'Parabola', 'Conic section', 'Orbit', 'Graph (discrete mathematics)', 'Equation', 'Directrix']"
Module (mathematics),"['Free module', 'Matrix (mathematics)', 'Matrix multiplication', 'Multiplication']","['Matrix (mathematics)', 'Vector space', 'Matrix multiplication', 'Linear independence', 'Linear combination']","['Multiplication', 'Matrix (mathematics)', 'Free module', 'Vector space', 'Linear combination', 'Matrix multiplication', 'Linear independence']"
Mathematical induction,"['Generator (mathematics)', 'Heat equation']","['Equation', 'Mathematical proof', 'Linear map', 'Free variables and bound variables', 'Variable (mathematics)']","['Heat equation', 'Linear map', 'Free variables and bound variables', 'Variable (mathematics)', 'Equation', 'Mathematical proof']"
Origin (mathematics),"['Cartesian coordinate system', 'Coordinate system', 'Axis', 'Y-intercept', 'Ordered pair']","['Cartesian coordinate system', 'René Descartes', 'Ordered pair', 'Geometry', 'Perpendicular']","['René Descartes', 'Geometry']"
Multiplication,"['Complex number', 'Matrix multiplication', 'Imaginary unit', 'Interval (mathematics)']","['Dot product', 'Real number', 'Field extension', 'If and only if', 'Number']","['Number', 'Imaginary unit', 'Matrix multiplication', 'Real number', 'Dot product', 'Complex number', 'Field extension', 'Interval (mathematics)', 'If and only if']"
Finite difference,[],"['Sequence', 'Skin condition', 'Arrow keys', 'Recursion', 'Equivalent National Tertiary Entrance Rank']","['Arrow keys', 'Sequence', 'Skin condition', 'Equivalent National Tertiary Entrance Rank', 'Recursion']"
Cartan–Dieudonné theorem,"['Determinant', 'Adjugate matrix']","['Square matrix', 'Orthogonal matrix', 'Adjugate matrix', 'Matrix (mathematics)', 'Determinant']","['Adjugate matrix', 'Determinant', 'Orthogonal matrix', 'Square matrix', 'Matrix (mathematics)']"
Theorem,['Determinant'],"['Matrix (mathematics)', 'System of linear equations', 'Square matrix', 'Column', 'Kernel (linear algebra)']","['Kernel (linear algebra)', 'Determinant', 'System of linear equations', 'Square matrix', 'Column', 'Matrix (mathematics)']"
Turning Point,[],"['Function (mathematics)', 'Polynomial', 'Behavior', 'Coefficient', 'Graph (discrete mathematics)']","['Function (mathematics)', 'Behavior', 'Coefficient', 'Polynomial', 'Graph (discrete mathematics)']"
Orthogonal instruction set,[],"['Euclidean vector', 'Orthogonality', 'Mathematical proof', 'Orthogonal basis', 'Projection (linear algebra)']","['Euclidean vector', 'Orthogonality', 'Orthogonal basis', 'Projection (linear algebra)', 'Mathematical proof']"
Canonical basis,[],"['Matrix (mathematics)', 'Jordan normal form', 'Basis (linear algebra)', 'Vector space', 'F(x) (musical group)']","['F(x) (musical group)', 'Vector space', 'Jordan normal form', 'Basis (linear algebra)', 'Matrix (mathematics)']"
Symmetric function,"['Skew-symmetric matrix', 'Transpose']","['Matrix (mathematics)', 'Transpose', 'Bachelor of Arts', '.example', 'Multiplication']","['Multiplication', 'Skew-symmetric matrix', '.example', 'Bachelor of Arts', 'Matrix (mathematics)', 'Transpose']"
Rational number,"['Real number', 'Vector space', 'Scalar multiplication', 'Vector (mathematics and physics)']","['Matrix (mathematics)', 'Vector space', 'Scalar multiplication', 'Axiom', 'Basis (linear algebra)']","['Vector space', 'Vector (mathematics and physics)', 'Real number', 'Basis (linear algebra)', 'Scalar multiplication', 'Matrix (mathematics)', 'Axiom']"
Projection (mathematics),"['Homomorphism', 'Ring homomorphism']","['Vector space', 'Linear map', 'Matrix (mathematics)', 'Projection (linear algebra)', 'Eigenvalues and eigenvectors']","['Linear map', 'Vector space', 'Ring homomorphism', 'Homomorphism', 'Matrix (mathematics)', 'Projection (linear algebra)']"
Transformation (function),"['Affine transformation', 'Lorentz transformation', 'Matrix (mathematics)', 'System of linear equations']","['Cartesian coordinate system', 'Euclidean vector', 'Matrix (mathematics)', 'Function (mathematics)', 'Multiplication']","['Function (mathematics)', 'Multiplication']"
Perimeter,[],"['Equation', 'Formula', 'Drive time', 'Rectangle', 'Unit of measurement']","['Rectangle', 'Drive time', 'Unit of measurement', 'Equation', 'Formula']"
Definite quadratic form,['Absolute value'],"['Equation', 'Quadratic form', 'Exponentiation', 'Middle term', 'Variable (mathematics)']","['Middle term', 'Absolute value', 'Exponentiation', 'Variable (mathematics)', 'Quadratic form', 'Equation']"
Transformational theory,"['Orientation (geometry)', 'Sense', 'Size', 'Volume']","['Matrix (mathematics)', 'Invertible matrix', 'Determinant', 'Elementary matrix', 'Multiplication']","['Orientation (geometry)', 'Multiplication', 'Determinant', 'Sense', 'Elementary matrix', 'Size', 'Matrix (mathematics)', 'Invertible matrix', 'Volume']"
Venn diagram,"['Definition', 'Set-builder notation', 'Union (set theory)']","['Empty set', 'Real number', 'Universal set', 'Union (set theory)', 'Mathematics']","['Mathematics', 'Union (set theory)', 'Universal set', 'Real number', 'Definition', 'Empty set', 'Set-builder notation']"
Rank–nullity theorem,[],"['Column', 'Kernel (linear algebra)', 'Matrix (mathematics)', 'Dimension', 'Row echelon form']","['Dimension', 'Kernel (linear algebra)', 'Row echelon form', 'Column', 'Matrix (mathematics)']"
Scale factor (computer science),[],"['Eigenvalues and eigenvectors', 'Absolute value', 'Vector space', 'Scaling (geometry)', 'Power iteration']","['Power iteration', 'Absolute value', 'Vector space', 'Scaling (geometry)', 'Eigenvalues and eigenvectors']"
Unitary matrix,"['Orthogonal functions', 'Principal axis theorem', ""Schur's theorem"", 'Triangular matrix', 'Woodbury matrix identity']","['Matrix (mathematics)', 'Invertible matrix', 'Orthogonal matrix', 'Matrix multiplication', 'Symmetric matrix']","['Orthogonal functions', 'Symmetric matrix', 'Woodbury matrix identity', 'Matrix multiplication', 'Principal axis theorem', 'Orthogonal matrix', 'Triangular matrix', ""Schur's theorem"", 'Matrix (mathematics)', 'Invertible matrix']"
Support of a module,[],"['Bullet (typography)', 'Equality (mathematics)', 'Annihilator (ring theory)', 'Linear map', 'Linear form']","['Annihilator (ring theory)', 'Linear map', 'Equality (mathematics)', 'Bullet (typography)', 'Linear form']"
Robin boundary condition,"['Delay differential equation', 'Differential equation']","['Equation', 'Bacteria', 'Differential equation', 'Linear differential equation', 'Diagonalizable matrix']","['Diagonalizable matrix', 'Differential equation', 'Delay differential equation', 'Linear differential equation', 'Bacteria', 'Equation']"
Error correction code,['Modulo (mathematics)'],"['Matrix (mathematics)', 'Unitary matrix', 'Hermitian matrix', 'Invertible matrix', 'Skew-Hermitian matrix']","['Modulo (mathematics)', 'Hermitian matrix', 'Skew-Hermitian matrix', 'Unitary matrix', 'Matrix (mathematics)', 'Invertible matrix']"
Horner's method,"['Mathematics', 'Matrix norm']","['Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'Polynomial', 'Square root', 'Characteristic polynomial']","['Square root', 'Mathematics', 'Characteristic polynomial', 'Polynomial', 'Matrix norm', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Parametric equation,['Vector space'],"['Real number', '.example', 'Field extension', 'Free variables and bound variables', 'System of linear equations']","['Vector space', 'Free variables and bound variables', 'Real number', 'System of linear equations', '.example', 'Field extension']"
Tensor product,['Inner product space'],"['Inner product space', 'Vector space', 'Complex number', 'Linear map', 'Field extension']","['Linear map', 'Vector space', 'Complex number', 'Inner product space', 'Field extension']"
Atlas (topology),"['Cartesian coordinate system', 'Coordinate system']","['Cartesian coordinate system', 'Ordered pair', 'Number line', 'Real number', 'René Descartes']","['Coordinate system', 'Cartesian coordinate system', 'Real number', 'René Descartes', 'Number line', 'Ordered pair']"
Degree (graph theory),"['Coefficient', 'Leading-order term', 'Order of a polynomial', 'Polynomial']",[],"['Coefficient', 'Order of a polynomial', 'Leading-order term', 'Polynomial']"
Elementary arithmetic,"['Elementary mathematics', 'System of linear equations']","['Elementary matrix', 'System of linear equations', 'Matrix (mathematics)', 'Equation', 'Multiplicative inverse']","['Elementary mathematics', 'Multiplicative inverse', 'Elementary matrix', 'System of linear equations', 'Equation', 'Matrix (mathematics)']"
Distance matrix,"['Matrix (mathematics)', 'System of linear equations', 'Vector notation', 'Vector (mathematics and physics)', 'Coefficient']","['Matrix (mathematics)', 'Augmented matrix', 'System of linear equations', 'Equation', '.example']","['System of linear equations', 'Augmented matrix', '.example']"
RRQR factorization,['Orthogonal matrix'],"['Matrix (mathematics)', 'Factorization', 'Triangular matrix', 'Orthogonal matrix', 'Independence (probability theory)']","['Factorization', 'Independence (probability theory)', 'Orthogonal matrix', 'Triangular matrix', 'Matrix (mathematics)']"
Multiplicative function,[],"['Square matrix', 'Determinant', 'Permutation', 'Column', 'Inverse element']","['Permutation', 'Inverse element', 'Determinant', 'Square matrix', 'Column']"
Inequality (mathematics),"['Numerical methods for ordinary differential equations', 'Gaussian elimination', 'System of linear equations']","['Equation', 'Point (geometry)', 'Graph (discrete mathematics)', 'Variable (mathematics)', 'Nonlinear system']","['Nonlinear system', 'System of linear equations', 'Numerical methods for ordinary differential equations', 'Variable (mathematics)', 'Graph (discrete mathematics)', 'Point (geometry)', 'Equation', 'Gaussian elimination']"
Inclusion map,"['Definition', 'Set-builder notation', 'Union (set theory)', 'Venn diagram']","['Subset', 'Chemical element', 'Union (set theory)', 'Pronghorn', 'Vowel']","['Union (set theory)', 'Vowel', 'Definition', 'Subset', 'Pronghorn', 'Venn diagram', 'Chemical element', 'Set-builder notation']"
PageRank,"['Google matrix', 'ALGOL 58', 'Alex Sink', 'PageRank', 'Population dynamics']","['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'Google', 'World Wide Web', 'Internal combustion engine']","['Alex Sink', 'ALGOL 58', 'Google', 'Internal combustion engine', 'World Wide Web', 'Population dynamics', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Hypatia,[],"['Minkowski space', 'Kernel (linear algebra)', 'Integer (computer science)', 'Sequence', 'Polynomial']","['Sequence', 'Minkowski space', 'Integer (computer science)', 'Kernel (linear algebra)', 'Polynomial']"
Inverse limit,[],"['Invertible matrix', 'Matrix (mathematics)', 'Elementary matrix', 'Inverse function', 'Mathematical proof']","['Elementary matrix', 'Inverse function', 'Matrix (mathematics)', 'Invertible matrix', 'Mathematical proof']"
Covariant derivative,"['Euclidean vector', 'Geometric algebra', 'Geometric series', 'Unit vector', 'Vector (mathematics and physics)']","['Euclidean vector', 'Geometry', 'Coordinate system', 'Mathematical proof', 'Square root']","['Square root', 'Unit vector', 'Coordinate system', 'Geometry', 'Euclidean vector', 'Vector (mathematics and physics)', 'Geometric series', 'Geometric algebra', 'Mathematical proof']"
Neural decoding,['Code'],"['Matrix (mathematics)', 'Parity-check matrix', 'Matrix multiplication', 'Decimal', 'Finite field']","['Parity-check matrix', 'Finite field', 'Code', 'Matrix multiplication', 'Decimal', 'Matrix (mathematics)']"
Digit sum,"['Code', 'Coding theory', 'Gray code', 'Hamming distance']","['Software bug', 'Finite field', 'Code word', 'Coding theory', 'Abstract algebra']","['Finite field', 'Hamming distance', 'Software bug', 'Code', 'Abstract algebra', 'Gray code', 'Coding theory', 'Code word']"
Computing the permanent,"['Determinant', 'Matrix decomposition']","['Determinant', 'Row echelon form', 'Square matrix', 'Gaussian elimination', 'Computer science']","['Computer science', 'Matrix decomposition', 'Determinant', 'Row echelon form', 'Square matrix', 'Gaussian elimination']"
Endemic (epidemiology),[],"['Soup', 'Probability', 'Beef', 'Matrix (mathematics)', 'Quantum state']","['Soup', 'Matrix (mathematics)', 'Quantum state', 'Probability', 'Beef']"
Imaginary number,"['Complex number', 'Split-complex number', 'Exponential function']","['Cartesian coordinate system', 'Complex number', 'Real number', 'Number', 'Nth root']","['Number', 'Nth root', 'Cartesian coordinate system', 'Exponential function', 'Real number', 'Complex number', 'Split-complex number']"
John von Neumann,"['Linear subspace', 'Vector space', 'Sign function', 'Exponential decay', 'Exponential growth']","['Vector space', 'Matrix (mathematics)', 'Real number', 'Variable (mathematics)', 'Function (mathematics)']","['Exponential decay', 'Sign function', 'Exponential growth', 'Vector space', 'Linear subspace', 'Real number', 'Variable (mathematics)', 'Matrix (mathematics)']"
Trace operator,[],"['Vector space', 'Invariant (mathematics)', 'Linear map', 'Eigenvalues and eigenvectors', 'Dimension (vector space)']","['Dimension (vector space)', 'Vector space', 'Invariant (mathematics)', 'Linear map']"
Descartes' rule of signs,['Weierstrass factorization theorem'],"['Polynomial', 'Complex conjugate', 'Function (mathematics)', 'René Descartes', 'Semiotics']","['Function (mathematics)', 'Polynomial', 'René Descartes', 'Complex conjugate', 'Weierstrass factorization theorem', 'Semiotics']"
Gröbner basis,"['Coordinate system', 'Change of basis', 'Transformation (function)']","['Standard basis', 'Matrix (mathematics)', 'Vector space', 'Euclidean vector', 'Coordinate system']","['Transformation (function)', 'Standard basis', 'Vector space', 'Euclidean vector', 'Matrix (mathematics)']"
Change of base,[],"['Logarithm', 'Product rule', 'Quotient rule', 'Hydrogen ion', 'Ion']","['Quotient rule', 'Product rule', 'Hydrogen ion', 'Ion', 'Logarithm']"
Commuting matrices,['Complex number'],"['Matrix (mathematics)', 'Geometric group action', 'Demo (music)', 'Uniregistry', 'Click (TV programme)']","['Click (TV programme)', 'Uniregistry', 'Geometric group action', 'Demo (music)', 'Complex number', 'Matrix (mathematics)']"
Jordan normal form,"['Jordan matrix', 'Markov chain']","['Matrix (mathematics)', 'Canonical form', 'Eigenvalues and eigenvectors', 'Invertible matrix', 'Diagonalizable matrix']","['Diagonalizable matrix', 'Jordan matrix', 'Eigenvalues and eigenvectors', 'Canonical form', 'Matrix (mathematics)', 'Invertible matrix', 'Markov chain']"
Cube root,[],"['Exponentiation', 'Function (mathematics)', 'Infinity', 'Graph of a function', 'Quadratic function']","['Function (mathematics)', 'Exponentiation', 'Quadratic function', 'Infinity', 'Graph of a function']"
Complex number,"['Complex number', 'Polynomial', 'Fundamental theorem of algebra', 'Split-complex number', 'Eigenvalues and eigenvectors']","['Real number', 'Cartesian coordinate system', 'Algebra', 'Square root', 'Imaginary number']","['Square root', 'Imaginary number', 'Algebra', 'Cartesian coordinate system', 'Real number']"
Irreducibility (mathematics),[],"['Irreducible polynomial', 'Mathematical proof', 'Polynomial', 'Linear map', 'Matrix (mathematics)']","['Linear map', 'Irreducible polynomial', 'Polynomial', 'Matrix (mathematics)', 'Mathematical proof']"
Golden ratio,[],"['Sequence', 'Arithmetic progression', 'Formula', 'Number', 'Recursion']","['Sequence', 'Number', 'Arithmetic progression', 'Recursion', 'Formula']"
Magic square,['Magic square'],"['River', 'Parity (mathematics)', 'Swap (finance)', 'Turtle', 'Sacrifice']","['Sacrifice', 'Parity (mathematics)', 'Swap (finance)', 'River', 'Turtle']"
Long division,[],"['Polynomial', 'Quotient', 'Division (mathematics)', 'Divisor', 'Synthetic division']","['Synthetic division', 'Divisor', 'Quotient', 'Division (mathematics)', 'Polynomial']"
Size,"['Orientation (geometry)', 'Sense', 'Volume']","['Determinant', 'Function (mathematics)', 'Scalar (mathematics)', 'Dimension', 'Parallelogram']","['Function (mathematics)', 'Orientation (geometry)', 'Dimension', 'Parallelogram', 'Determinant', 'Sense', 'Scalar (mathematics)', 'Volume']"
Pigeonhole principle,['Euclid'],[],['Euclid']
Standard basis,"['Basis (linear algebra)', 'Affine transformation', 'Vector space']","['Vector space', 'Field extension', 'Polynomial', 'Matrix (mathematics)', 'Linear independence']","['Field extension', 'Vector space']"
Complex analysis,[],"['Complex number', 'Matrix (mathematics)', 'Polynomial', 'Eigenvalues and eigenvectors', 'Vector space']","['Vector space', 'Polynomial', 'Complex number', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Feasible region,['Barrier function'],"['Variable (mathematics)', 'Cartesian coordinate system', 'Inequality (mathematics)', 'Regions of France', 'Exercise']","['Cartesian coordinate system', 'Inequality (mathematics)', 'Regions of France', 'Variable (mathematics)', 'Exercise', 'Barrier function']"
Phase (waves),"['Nilpotent', 'Nilpotent matrix']","['Linear map', 'Bijection', 'Dimension', 'Kernel (linear algebra)', 'Direct sum']","['Bijection', 'Linear map', 'Nilpotent matrix', 'Dimension', 'Kernel (linear algebra)', 'Nilpotent', 'Direct sum']"
Skew-symmetric graph,"['Skew-symmetric matrix', 'Determinant', 'Vector notation', 'Transpose']","['Matrix (mathematics)', 'Transpose', 'Skew-symmetric matrix', 'Square matrix', 'Exercise']","['Vector notation', 'Transpose', 'Determinant', 'Square matrix', 'Matrix (mathematics)', 'Exercise']"
Linear span,"['Linear subspace', 'Vector space', 'Closure (mathematics)', 'Linear independence']","['Linear combination', 'Linear algebra', 'Linear independence', 'Vector space', 'System of linear equations']","['Linear combination', 'Vector space']"
Cayley transform,[],"['Inner product space', 'Matrix (mathematics)', 'Linear map', 'Rotation', 'Basis (linear algebra)']","['Linear map', 'Basis (linear algebra)', 'Inner product space', 'Rotation', 'Matrix (mathematics)']"
Degenerate bilinear form,[],"['Kernel (linear algebra)', 'Matrix (mathematics)', 'Bilinear form', 'Vector space', 'If and only if']","['Vector space', 'Kernel (linear algebra)', 'Bilinear form', 'Matrix (mathematics)', 'If and only if']"
Series (mathematics),"['Cartesian coordinate system', 'Coordinate system', 'Series (mathematics)']","['Sequence', 'Number', 'Geometry', 'Cartesian coordinate system', 'Geometric progression']","['Number', 'Sequence', 'Geometric progression', 'Geometry']"
Minor (linear algebra),"['Laplace expansion', 'Adjugate matrix', 'Factorization', 'Matrix (mathematics)', 'Invertible matrix']","['Matrix (mathematics)', 'Determinant', 'Column', 'Formula', 'Function (mathematics)']","['Function (mathematics)', 'Factorization', 'Determinant', 'Column', 'Matrix (mathematics)', 'Formula']"
Triple product,['Parallelepiped'],"['Parallelepiped', 'Parallelogram', 'Determinant', 'Euclidean vector', 'Square matrix']","['Euclidean vector', 'Parallelogram', 'Determinant', 'Parallelepiped', 'Square matrix']"
BCH code,['Code'],"['Matrix (mathematics)', 'Parity-check matrix', 'Matrix multiplication', 'Decimal', 'Finite field']","['Parity-check matrix', 'Finite field', 'Code', 'Matrix multiplication', 'Decimal', 'Matrix (mathematics)']"
Factorial experiment,[],"['Orthogonal basis', 'Projection (linear algebra)', 'Orthonormal basis', 'Euclidean vector', 'Music']","['Euclidean vector', 'Music', 'Orthonormal basis', 'Orthogonal basis', 'Projection (linear algebra)']"
Heat equation,"['Solution set', 'Transpose', 'Linear equation']","['System of linear equations', 'Equation', 'Solution set', 'Variable (mathematics)', 'Matrix (mathematics)']","['Solution set', 'System of linear equations', 'Variable (mathematics)', 'Equation', 'Transpose', 'Linear equation']"
Module homomorphism,['Inverse problem'],"['Homomorphism', 'Vector space', 'Codomain', 'Row and column spaces', 'Domain of a function']","['Domain of a function', 'Inverse problem', 'Vector space', 'Codomain', 'Row and column spaces', 'Homomorphism']"
Schauder basis,['Basis (linear algebra)'],"['Vector space', 'Linear independence', 'Independent politician', 'Standard basis', 'Linear subspace']","['Independent politician', 'Standard basis', 'Vector space', 'Linear subspace', 'Basis (linear algebra)', 'Linear independence']"
Division algorithm,"['Euclidean algorithm', 'Modulo (mathematics)', 'Quotient', 'Remainder']","['Division (mathematics)', 'Long division', 'Polynomial', 'Algorithm', 'Divisor']","['Modulo (mathematics)', 'Divisor', 'Remainder', 'Quotient', 'Division (mathematics)', 'Algorithm', 'Polynomial', 'Euclidean algorithm', 'Long division']"
Spectrum of a matrix,"['Orthogonal matrix', 'Diagonalizable group', 'Eigenvalue algorithm', 'Orthogonal functions', 'Principal axis theorem']","['Matrix (mathematics)', 'Mathematical proof', 'Orthogonal matrix', 'Trace (linear algebra)', 'Symmetric matrix']","['Orthogonal functions', 'Symmetric matrix', 'Diagonalizable group', 'Eigenvalue algorithm', 'Trace (linear algebra)', 'Principal axis theorem', 'Orthogonal matrix', 'Matrix (mathematics)', 'Mathematical proof']"
Annihilator (ring theory),['Dual space'],"['Vector space', 'Linear form', 'Dimension (vector space)', 'Kernel (linear algebra)', 'Polynomial']","['Dimension (vector space)', 'Vector space', 'Dual space', 'Kernel (linear algebra)', 'Polynomial', 'Linear form']"
Variational inequality,[],"['Inequality (mathematics)', 'Regions of France', 'Graph (discrete mathematics)', 'Parabola', 'Nonlinear system']","['Nonlinear system', 'Inequality (mathematics)', 'Regions of France', 'Parabola', 'Graph (discrete mathematics)']"
Domain of a function,['Domain (mathematical analysis)'],"['Interval (mathematics)', 'Bracket', 'Function (mathematics)', 'Musical notation', 'Nth root']","['Domain (mathematical analysis)', 'Function (mathematics)', 'Nth root', 'Musical notation', 'Interval (mathematics)', 'Bracket']"
Analytic geometry,"['Matrix multiplication', 'Vector notation']","['System of linear equations', 'Tuple', 'Real number', 'Square matrix', 'Matrix (mathematics)']","['Vector notation', 'Matrix multiplication', 'Real number', 'System of linear equations', 'Square matrix', 'Tuple', 'Matrix (mathematics)']"
Nullity (graph theory),"['Affine transformation', 'Image (mathematics)']","['Vector space', 'Kernel (linear algebra)', 'Matrix (mathematics)', 'Minkowski space', 'Dimension']","['Minkowski space', 'Vector space', 'Dimension', 'Affine transformation', 'Kernel (linear algebra)', 'Matrix (mathematics)', 'Image (mathematics)']"
Fixed point (mathematics),"['Reflection (mathematics)', 'Color space']","['Real number', 'Orthonormal basis', 'Inner product space', 'Tuple', 'Number line']","['Reflection (mathematics)', 'Inner product space', 'Real number', 'Color space', 'Number line', 'Tuple', 'Orthonormal basis']"
One-to-one (data model),"['Bijection', 'Differentiable function', 'Set (mathematics)', 'Image (mathematics)', 'Transformation geometry']","['Linear map', 'Injective function', 'Euclidean vector', 'Transformation matrix', 'Mathematical proof']","['Linear map', 'Transformation geometry', 'Injective function', 'Euclidean vector', 'Transformation matrix', 'Image (mathematics)', 'Differentiable function', 'Mathematical proof']"
WKB approximation,[],"['Exercise', 'Eigenvalues and eigenvectors', 'Approximation', 'Applied mathematics', 'Matrix (mathematics)']","['Approximation', 'Applied mathematics', 'Matrix (mathematics)', 'Exercise', 'Eigenvalues and eigenvectors']"
Grassmannian,[],"['Module (mathematics)', 'Exterior algebra', 'Tuple', 'Multiplication', 'Laplace expansion']","['Laplace expansion', 'Multiplication', 'Exterior algebra', 'Module (mathematics)', 'Tuple']"
